"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"6",1,23,2,0,150,67,235,147,5,20,0.852272727,653,0.75,1,0.28,0.28030303,1,1,26.86956522,9,1.8696,"1","0","0"
"12",0,8,1,0,10,21,28,5,5,7,2,130,0,0,0,0.3125,0,0,15.25,5,2.625,"0","0","0"
"21",0,3,1,2,7,8,3,7,0,3,2,34,0,0,0,0.777777778,0,0,10.33333333,1,0.6667,"0","0","0"
"22",0,4,3,0,6,10,4,1,5,1,0.666666667,27,1,1,0.714285714,0.5,1,1,5.5,1,0.5,"0","0","0"
"27",0,12,5,0,3,25,66,0,0,12,2,67,0,0,0.938888889,0.472222222,1,1,4.583333333,1,0.9167,"0","0","0"
"40",0,7,3,0,5,20,9,3,4,5,0.733333333,110,1,0,0.583333333,0.333333333,0,0,14,3,1,"0","0","0"
"42",0,5,6,0,6,24,2,0,0,5,0.625,88,1,0,0.963636364,0.7,2,2,16.2,1,0.8,"0","0","0"
"44",0,16,1,0,27,123,120,5,23,2,2,1851,0,0,0,0.204545455,0,0,114.6875,20,5.9375,"1","1","0"
"54",0,18,1,0,23,83,151,18,5,15,0.970588235,638,1,0,0,0.194117647,0,0,34.33333333,5,1.5556,"0","0","0"
"55",0,11,5,2,7,27,49,2,0,10,0.8,85,1,0,0.944134078,0.345454545,2,2,6.636363636,2,1,"0","0","0"
"58",0,5,5,0,6,15,10,3,3,5,2,48,0,0,1,0.5,0,0,8.6,0,0,"0","0","0"
"62",1,9,2,0,19,39,34,8,13,5,0.9375,178,0.5,1,0.3,0.328125,1,1,18.55555556,1,0.7778,"0","0","0"
"65",0,4,1,0,11,17,4,8,3,2,0.666666667,77,0,1,0,0.333333333,0,0,18,4,1.75,"0","0","0"
"69",0,27,1,0,33,78,219,23,13,24,0.737179487,394,1,5,0,0.150997151,0,0,13.37037037,4,1.2593,"0","0","0"
"70",0,31,1,0,97,31,465,84,16,31,1.033333333,33,0,0,0,0.132258065,0,0,0,1,1,"0","0","0"
"72",0,37,4,0,19,107,526,0,0,30,0.909259259,659,0.933333333,0,0.650485437,0.32972973,2,3,16.40540541,3,1.027,"0","0","0"
"85",0,5,1,0,7,26,4,1,6,3,0,158,1,0,0,0.525,0,0,30.2,4,1.8,"0","0","0"
