"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"2",0,4,3,0,1,8,4,1,0,4,1,82,0,0,0.857142857,0.35,2,2,18.5,1,0.75,"0","0","0"
"6",0,5,2,2,22,6,10,17,5,5,2,26,0,0,0.636363636,0.9,0,0,4.2,1,0.8,"0","0","0"
"10",0,89,2,0,141,269,3550,119,43,66,0.961229947,2699,0.588235294,2,0.570731707,0.103620474,1,10,28.94382022,35,3.2135,"0","1","0"
"21",0,22,1,0,34,114,219,1,33,6,0.962406015,2003,0,5,0,0.159090909,0,0,89.18181818,18,5.4545,"0","0","0"
"24",0,4,2,0,4,6,2,1,3,4,0.666666667,26,1,0,0.5,0.4375,0,0,5,1,0.75,"0","0","0"
"27",0,5,1,1,3,6,10,1,2,5,2,12,0,0,0,0.733333333,0,0,1.4,1,0.8,"0","0","0"
"28",0,5,2,0,4,25,2,1,3,4,0.416666667,301,1,0,0.25,0.44,0,0,58.6,28,6.4,"0","0","0"
"29",0,43,1,4,52,116,805,40,23,35,0.977513228,962,0.277777778,0,0,0.215873016,0,0,20.95348837,7,1.4884,"0","0","0"
"34",0,6,1,0,3,20,0,3,3,4,0.6,120,0.666666667,1,0,0.416666667,0,0,18.5,3,1.6667,"0","0","0"
"35",0,75,1,2,58,156,2419,46,20,49,0.912483912,1888,0.666666667,5,0,0.106821107,0,0,23.89333333,6,1.72,"0","0","0"
"41",0,14,1,0,9,63,0,4,6,1,0.269230769,721,0.5,1,0,0.30952381,0,0,50.35714286,19,4.1429,"0","0","0"
"43",0,4,1,0,7,54,4,1,7,3,1,318,1,0,0,0.5,0,0,77.75,9,4.5,"0","0","0"
"45",0,19,1,0,17,56,157,2,17,7,0.977777778,401,1,2,0,0.342105263,0,0,19.57894737,12,2.8947,"0","0","0"
"49",0,4,1,0,3,5,6,1,2,3,1,15,0,1,0,0.533333333,0,0,2.5,1,0.5,"0","0","0"
"55",0,2,1,0,3,3,0,1,2,2,0,12,1,1,0,0.75,0,0,4.5,1,0.5,"0","0","0"
"57",0,5,2,0,12,35,6,1,11,1,0.625,221,0,0,0.80952381,0.4,1,1,42.8,1,0.8,"0","0","0"
"60",0,5,2,0,11,10,2,5,6,3,0.625,128,0.25,0,0.80952381,0.44,1,1,23.8,3,1.6,"0","0","0"
