"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"1",0,13,1,0,18,47,0,17,1,10,0.541666667,803,1,0,0,0.2,0,0,60.61538462,5,2.6154,"0","0","0"
"5",0,13,1,0,13,52,0,1,12,6,0.541666667,520,1,0,0,0.291666667,0,0,38.84615385,4,1.4615,"0","0","0"
"6",0,15,2,0,14,36,0,8,6,10,0.464285714,404,1,1,0.235294118,0.196428571,1,4,25.8,4,1.7333,"0","0","0"
"15",0,9,2,0,6,15,0,3,3,7,0.65,199,1,0,0.65,0.34375,1,4,20.55555556,2,1.4444,"0","0","0"
"18",0,11,1,0,12,35,0,1,11,6,0.55,324,1,0,0,0.5,0,0,28.27272727,2,1.1818,"0","0","0"
"24",0,4,1,0,57,53,0,11,46,2,0.333333333,383,1,0,0,0.333333333,0,0,94.25,2,0.75,"1","0","0"
"27",0,14,1,0,13,62,0,0,13,12,0.769230769,819,1,7,0,0.323076923,0,0,56.78571429,6,2.8571,"0","0","0"
"28",0,9,1,0,20,38,0,1,19,6,0.5625,309,1,0,0,0.458333333,0,0,33.11111111,3,1.3333,"0","0","0"
"30",1,14,1,0,8,38,0,1,7,9,0.714285714,529,0.857142857,3,0,0.307692308,0,0,36.28571429,5,2.2143,"0","0","0"
"33",0,5,1,0,6,19,0,0,6,2,1.041666667,222,0.333333333,0,0,0.375,0,0,42.2,1,0.6,"0","0","0"
"36",0,1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"38",0,9,1,0,15,30,0,2,13,6,0.5625,281,1,0,0,0.458333333,0,0,30,2,1.2222,"0","0","0"
"43",0,15,1,0,52,36,0,47,5,13,0.535714286,429,1,0,0,0.357142857,0,0,27.46666667,8,2.1333,"0","0","0"
"46",0,9,1,0,13,23,0,1,12,6,0.5625,217,1,0,0,0.458333333,0,0,22.88888889,2,1.2222,"0","0","0"
"51",1,11,1,0,11,36,0,1,10,6,0.55,362,1,0,0,0.5,0,0,31.72727273,3,1.2727,"0","0","0"
"56",0,16,2,0,12,42,0,6,6,11,0.466666667,382,1,1,0.222222222,0.306666667,1,4,22.75,2,1.625,"0","0","0"
"57",0,12,1,0,8,29,0,2,6,9,0.681818182,409,0.5,1,0,0.424242424,0,0,32.75,4,1.8333,"0","0","0"
"58",0,29,1,0,13,54,0,11,2,27,0.792207792,1030,1,0,0,0.292857143,0,0,34.13793103,10,2.4828,"1","0","0"
"59",0,9,1,0,9,27,0,1,8,6,0.5625,267,1,0,0,0.458333333,0,0,28.44444444,2,1.2222,"0","0","0"
"62",0,17,1,8,25,28,0,24,1,14,0.7375,387,1,0,0,0.458333333,0,0,21.47058824,3,1.5294,"0","0","0"
"69",1,11,1,0,5,22,0,1,4,8,0.74,341,0.8,1,0,0.35,0,0,29.54545455,4,1.8182,"0","0","0"
"71",0,13,1,6,10,15,0,8,2,11,0.541666667,248,1,0,0,0.791666667,0,0,17.92307692,2,1.6154,"0","0","0"
"76",0,15,1,0,13,51,0,2,11,11,0.653061224,732,1,3,0,0.285714286,0,0,47.33333333,6,1.9333,"0","0","0"
"79",0,14,1,0,11,43,0,2,9,10,0.681318681,583,1,3,0,0.323076923,0,0,40.14285714,5,1.8571,"0","0","0"
"90",0,9,1,0,12,38,0,1,11,6,0.5625,354,1,0,0,0.458333333,0,0,38.11111111,7,1.7778,"0","0","0"
"91",0,11,1,0,7,20,0,1,6,9,0.74,298,0.4,1,0,0.35,0,0,25.63636364,3,1.6364,"0","0","0"
"92",0,4,2,0,2,6,0,0,2,2,0.666666667,68,1,0,0.714285714,0.5,1,4,15.5,2,0.75,"0","0","0"
"96",0,4,2,0,3,7,0,1,2,2,0.888888889,72,1,0,0.714285714,0.666666667,1,4,16.25,2,0.75,"0","1","0"
"98",0,23,1,0,40,28,0,29,11,21,0.958333333,538,0.166666667,0,0,0.117424242,0,0,21.86956522,2,1.7826,"0","0","0"
"101",0,13,2,0,10,29,0,6,4,9,0.458333333,295,1,1,0.266666667,0.214285714,1,4,21.53846154,2,1.5385,"0","0","0"
"107",1,4,2,0,17,21,0,1,16,2,1.2,237,0.2,0,0.923076923,0.666666667,1,9,55.75,2,0.75,"1","1","1"
"112",0,5,2,0,4,20,0,1,3,3,0.625,176,1,0,0.8125,0.5,2,6,33.8,4,1.8,"0","0","0"
"113",0,29,1,14,28,61,0,24,4,27,0.647959184,1139,1,0,0,0.19047619,0,0,38.03448276,8,2.2759,"0","0","0"
"116",0,9,1,0,17,33,0,2,15,6,0.5625,282,1,0,0,0.458333333,0,0,30.11111111,4,1.4444,"0","0","0"
"117",0,18,1,0,7,18,153,5,2,18,2,18,0,0,0,0.333333333,0,0,0,1,1,"0","0","0"
"137",0,5,2,0,16,9,0,14,2,3,0.625,135,1,0,0.625,0.5,1,4,25.6,4,1.8,"0","0","0"
"138",0,8,1,18,35,10,0,34,1,6,0.666666667,137,1,0,0,0.476190476,0,0,15.75,2,1,"0","0","0"
"139",0,10,1,0,13,33,0,8,5,8,0.527777778,458,1,2,0,0.333333333,0,0,44.4,6,2.4,"0","0","0"
"140",1,18,1,0,13,26,0,12,1,16,0.816176471,460,1,0,0,0.338235294,1,1,24.11111111,7,2.0556,"0","0","0"
"141",0,20,1,0,12,63,0,1,11,8,0.610526316,884,1,1,0,0.252631579,0,0,42.95,5,2.45,"1","0","0"
"144",0,15,1,0,21,52,0,15,6,12,0.535714286,684,1,0,0,0.214285714,0,0,44.46666667,6,2.2,"0","0","0"
"146",0,11,1,0,12,40,0,1,11,6,0.55,344,1,0,0,0.5,0,0,30.09090909,2,1.1818,"0","0","0"
"147",0,3,1,0,2,5,1,0,2,1,0.75,48,1,0,0,0.5,0,0,14.33333333,1,0.3333,"0","0","0"
"150",0,7,2,0,3,9,0,1,2,5,0.583333333,166,1,0,0.6875,0.666666667,1,2,22.42857143,4,2,"0","0","0"
"151",0,8,2,0,10,17,0,8,2,6,0.571428571,249,1,0,0.684210526,0.642857143,1,4,29.625,4,1.625,"0","0","0"
"153",0,16,1,0,13,40,0,8,5,14,0.723809524,674,1,2,0,0.266666667,0,0,40.6875,7,2.375,"0","0","0"
"155",0,5,2,0,5,15,0,2,3,3,0.583333333,247,0.666666667,0,0.625,0.583333333,1,4,47.8,8,3.4,"0","0","0"
