"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"2",0,3,3,0,2,8,3,1,1,3,1.5,60,0,0,1,0.555555556,0,0,15,0,0,"0","0","0"
"6",0,4,2,0,8,29,4,0,8,3,0.666666667,141,1,0,0.6,0.666666667,0,0,34,6,1.75,"0","0","0"
"7",1,4,2,0,7,19,4,1,7,1,0.666666667,78,1,1,0.818181818,0.444444444,1,1,18.25,5,1.5,"0","0","0"
"8",0,51,1,0,4,71,1025,1,3,47,0.86,481,1,0,0,0.236666667,0,0,8.274509804,3,1.2157,"0","0","0"
"10",0,4,1,0,4,31,0,4,0,2,0.5,179,1,0,0,0.333333333,0,0,42.75,4,2,"0","1","0"
"12",0,17,1,0,23,77,34,4,19,15,0.848214286,673,0.714285714,6,0,0.2421875,0,0,37.76470588,30,3.4118,"1","1","1"
"14",0,10,1,0,33,10,45,30,5,10,2,10,0,0,0,0.283333333,0,0,0,1,1,"0","0","0"
"18",1,17,2,0,14,58,100,2,12,11,0.90625,444,1,2,0.464285714,0.3,0,0,24.64705882,12,2.0588,"1","1","1"
"26",0,3,1,0,4,3,3,2,2,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0","0","0"
"36",0,43,1,0,18,44,781,18,0,43,0.953514739,274,1,0,0,0.297674419,0,0,4.88372093,1,0.9767,"0","0","0"
"39",0,3,3,0,7,15,3,0,7,3,2,46,0,0,0.777777778,0.555555556,0,0,14.33333333,3,1.3333,"0","0","0"
"43",0,1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"47",0,3,5,0,6,6,3,2,5,3,2,18,0,0,0.991150442,0.5,0,0,5,1,0.3333,"0","0","0"
"50",1,3,4,0,83,6,3,83,0,3,1.5,17,1,0,1,0.777777778,0,0,4.333333333,0,0,"1","1","1"
"51",0,4,2,1,13,21,0,1,12,2,2,178,0,0,0.666666667,0.5,2,3,43.5,9,3.25,"0","0","0"
"53",0,3,1,0,11,35,1,0,11,2,0.625,200,1,0,0,0.666666667,0,0,64.33333333,11,3.6667,"0","0","0"
"56",0,1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"64",0,5,1,0,12,10,0,3,9,4,0.583333333,46,1,2,0,0.25,0,0,7.6,1,0.6,"0","0","0"
"70",1,8,2,0,8,32,0,2,6,8,0.571428571,219,1,2,0.65,0.375,0,0,26,15,2.625,"1","1","0"
"74",1,22,2,0,4,44,135,1,4,20,0.878787879,388,1,1,0.130434783,0.201058201,0,0,16.13636364,16,2,"0","1","0"
"77",0,10,1,0,8,20,9,7,1,10,0.666666667,148,1,0,0,0.475,0,0,13.5,2,1.2,"0","0","0"
"79",0,4,3,0,9,13,6,0,9,4,2,35,0,0,0.8,0.583333333,2,2,7.75,1,0.75,"0","0","0"
"80",0,6,1,0,13,6,15,12,1,6,2,6,0,0,0,0.458333333,0,0,0,1,1,"0","0","0"
"82",0,6,1,0,6,22,0,4,3,5,0,154,1,0,0,0.5,0,0,24.5,7,3,"0","0","0"
"84",0,7,1,0,9,51,5,1,9,4,0.708333333,334,0.75,0,0,0.416666667,0,0,46.14285714,23,3.8571,"1","1","0"
"88",0,2,2,0,2,4,1,1,1,2,2,10,0,0,0.923076923,0.75,0,0,4,1,0.5,"0","0","0"
"93",0,3,3,0,8,14,3,0,8,3,2,45,0,0,0.777777778,0.555555556,0,0,14,3,1.3333,"0","0","0"
"94",0,4,3,0,5,9,4,0,5,3,0.666666667,30,1,0,0.666666667,0.666666667,0,0,6.25,1,0.5,"0","0","0"
"100",1,8,1,0,27,64,20,0,27,6,0.785714286,313,1,1,0,0.333333333,0,0,37.875,2,0.875,"1","1","1"
"101",0,2,1,0,5,2,1,3,2,2,2,2,0,0,0,0.75,0,0,0,1,1,"0","0","0"
"105",1,6,3,0,12,56,13,1,11,3,0.7,606,1,0,0.848484848,0.4,2,4,99.33333333,15,5.5,"1","1","1"
"107",1,10,2,0,15,39,0,2,13,9,0.5,210,1,0,0.590909091,0.242857143,0,0,19.8,9,1.9,"0","1","0"
"116",0,4,1,0,19,69,2,1,18,2,0.583333333,598,1,0,0,0.333333333,0,0,147.5,40,10.25,"1","1","0"
"117",0,7,1,4,20,32,9,17,4,5,0.5,220,1,0,0,0.333333333,0,0,30.14285714,7,2.5714,"1","1","0"
"127",1,3,1,0,9,15,1,1,8,2,0.5,50,1,0,0,0.5,0,0,15.33333333,3,1,"0","0","0"
"132",0,5,1,19,26,18,10,19,7,0,1,154,1,0,0,0.45,0,0,26.8,5,1.4,"1","0","1"
"135",0,4,3,0,5,9,4,0,5,3,0.666666667,31,1,0,0.818181818,0.666666667,0,0,6.5,1,0.5,"0","0","0"
"136",1,2,1,0,4,5,1,4,0,1,1.689655172,88,0,0,0,1,0,0,28.5,0,0,"0","0","0"
"139",0,3,2,0,12,24,3,0,12,3,2,94,0,0,0.75,0.555555556,0,0,30.33333333,8,3,"0","0","0"
"141",0,3,2,0,10,21,3,0,10,3,2,110,0,0,0.75,0.555555556,0,0,35.66666667,9,3.3333,"0","0","0"
